Date,GC=F,AAPL,NVDA,BTC-USD,SHY,GE,TLT,ETH-USD,VPU,NBIS
2024-11-04,-0.0009132920834320161,-0.004045643898041516,0.00478915923530701,-0.013615611362265724,0.0007309026521684771,0.00034957905212246393,0.015402395796895837,-0.02447820471317373,-0.010039408798711694,0.029838389691731502
2024-11-05,0.0015338367843668287,0.006465320924628079,0.027976817218828647,0.022572112490931908,-0.00024370558877930058,0.020172241434432015,0.005297556837006653,0.0106332889134209,0.015199195638506635,-0.0881072675102669
2024-11-06,-0.02688819289182318,-0.003272362593012207,0.03993244359178733,0.08666903126846402,-0.0012187324877287323,0.03089958191878944,-0.027770506683224824,0.11730125264069904,-0.00766025327158145,0.015666077213857117
2024-11-07,0.011479740190580862,0.02114697645662137,0.022208924224246574,0.0035076496874788744,0.0017058882965511417,-0.010622606330662726,0.012450027912221114,0.0610238212650149,-0.0004174478846381957,0.06906200801698019
2024-11-08,-0.004047575121093911,-0.0011888904003588606,-0.008431620240758065,0.008404323339316332,-0.0007307246703948386,0.03278083014131087,0.012621277496263699,0.022777538004594824,0.018376435409758623,-0.03744280841080819
2024-11-09,0.0,0.0,0.0,0.0030444063813357424,0.0,0.0,0.0,0.05543374635533525,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.04700704537184314,0.0,0.0,0.0,0.01903956214350408,0.0,0.0
2024-11-11,-0.0288015263656269,-0.012101599724031728,-0.016183930338923576,0.09734014312496264,-0.000731357158207747,-0.0013538223204866483,-0.004877457180148626,0.05590174711708531,0.004556276224598237,0.049936974960105254
2024-11-12,-0.00429842206071789,0.0,0.020644539773887135,-0.008442066269106777,-0.0009759756627636469,-0.010457447794149215,-0.015106915290995577,-0.03883717170826067,-0.011135295926569316,-0.06613164524736219
2024-11-13,-0.00741199771886598,0.00396134099661683,-0.013715563230483988,0.02944485048776148,0.0014637046191547775,0.005024510113073584,-0.009531269047936539,-0.016668377768941905,-0.002064757881793233,-0.05398222676840442
2024-11-14,-0.004894201906120731,0.01367642800501692,0.0033443801879045514,-0.03749692231881138,-0.0014637046191548376,-0.02851333130579536,0.005773839325645813,-0.042763057630081716,-0.0038462348525363245,-0.026188051088673964
2024-11-15,-0.0009739185590534587,-0.014209646935919674,-0.033112302460422585,0.04280211829142622,0.0010977584829302283,-0.008274120757219046,-0.002660325790896019,0.01431114127592229,0.01430332909189819,-0.027460384123612003
2024-11-16,0.0,0.0,0.0,-0.00558881224411838,0.0,0.0,0.0,0.009695994492798173,0.0,0.0
2024-11-17,0.0,0.0,0.0,-0.007900350440318173,0.0,0.0,0.0,-0.0185584011251578,0.0,0.0
2024-11-18,0.017348790536743833,0.013333049042482625,-0.012973105668497487,0.007725465406075372,0.000731366184551136,0.003329210148704096,0.0017743966347028902,0.0420829005896754,0.008612265193233073,0.050952330216771716
2024-11-19,0.006300496006653572,0.0011394812548946932,0.04778747181089832,0.019697543183651734,0.0,0.00022525264285901304,0.0050843247387054365,-0.03053528608605521,0.005950141467561294,0.10886404699863758
2024-11-20,0.007999532098494133,0.003149154723326565,-0.007647675353840602,0.021381444998432572,-0.00048745261665540164,0.0023626133766578472,-0.0032021799514155257,-0.012677646434410245,0.0008635760373107113,-0.003395574235216885
2024-11-21,0.008984571185138249,-0.002098244672594998,0.005332271265106755,0.04320463738221239,-0.00024391356789579474,0.004037142169134821,-0.0007747885325476689,0.08986459438020718,0.016890475980737372,0.06672272665960124
2024-11-22,0.014046981134497769,0.005890069362698143,-0.032710356948934205,0.004991722095061175,-0.00012178282016669719,0.013617089922040953,0.0005534431404793683,-0.008801683663305197,-0.0038551532173765643,0.06553233556870669
2024-11-23,0.0,0.0,0.0,-0.012404002529793906,0.0,0.0,0.0,0.019211127992395893,0.0,0.0
2024-11-24,0.0,0.0,0.0,0.0024162403264788948,0.0,0.0,0.0,-0.009634405505680803,0.0,0.0
